id,artist,title,cover_hash,alt_text,confidence,review_triggers,needs_review,approved,created_at,updated_at,confidence_explanation
12f0aeab-7fd9-45b2-b051-d9a8d3d2c972,Setting,Setting,0000111100001111000011110000111100001111000011110000011100001111,"Oval abstract art with red-pink and purple-blue gradients, horizontal stripes, and 3 sets of pink light-like dots on black back.",0,"[""bad image quality"", ""highly abstract artwork""]",t,t,2026-06-30 14:29:33.101,2026-07-11 17:54:54.927,"The image quality is low-resolution and grainy, making specific details (e.g., exact shape of dots, texture nuances) difficult to identify with certainty. The composition’s abstract nature also limits clear interpretation beyond basic color and form patterns."
4630c2e6-2cb3-4235-b2e1-987eb4539abd,Umut Adan,Başka Bahar,1101101011001100111001100110001100100011110111111110111011100110,Black-and-white motion-blurred photo featuring shapes suggesting an indistinct human form with descriptive album narrative blurb.,1,,f,t,2026-06-30 14:30:10.346,2026-07-12 23:36:28.959,
6e3c1dcf-efab-4d0f-9f4d-1c2bde3ddb8f,Maya Shenfeld,Under the Sun,0010001001101111011010010100100011101000110101000001101100111011,Abstract collage with lines forming a women silhouette and colorful organic shapes  on a dark background.,0,"[""ambiguous main visual element"", ""complex image with mixed media"", ""highly abstract artwork"", ""possible person misidentification"", ""unclear visual focus""]",f,t,2026-06-30 19:08:10.874,2026-07-12 11:46:47.79,
e57808c0-ed2f-440c-ab8d-2e0b9589ee74,Various Artists,Women Invented Noise III,0000010110001111110010011010110101100011011100010011001101110011,"Black-and-white photograph of people with raised arms; bold red text ""WOMEN INVENTED NOISE III"" overlaid at top.",1,,f,t,2026-06-30 14:38:49.014,2026-07-07 16:12:56.566,
8a62aba4-6ba0-4287-9d2f-05f4a95565c4,Tacoma Park,Baltimore,0000111000100110000101100011011001110010001100110011001000100110,"Layered, orange-tinted photographs of forests. ""TACOMA PARK"" appears in white sans-serif text, horizontally across the center.",0,"[""complex image with mixed media""]",f,t,2026-06-30 14:33:20.376,2026-07-08 14:57:15.688,
66efd503-d9f5-490e-ae87-35c187bf4021,Jan Jelinek,Social Engineering,1001101011110000110011001100010010010100110011001111000010010110,"Gray grid background with circular, distorted “social engineering” text split with its bottom half offset, making it hard to read.",0,"[""cannot read text confidently"", ""complex image with mixed media"", ""highly abstract artwork""]",f,t,2026-06-30 19:06:43.496,2026-07-12 11:46:47.79,
8896b174-99ad-4b91-81a0-fc3ec54e883c,The Shapiros,Gone By Fall: The Collected Works of The Shapiros,0001010100000111011110010111100100011101001100010011000100010011,Teal background with a central dog's head attached to a pipe structure with stick in its mouth; ornate black decorative border.,0,"[""unclear visual focus""]",f,t,2026-06-30 19:53:08.59,2026-07-12 23:21:26.148,
c2798833-d414-45fa-8cc0-5fda7b3a5e8e,ANGINE DE POITRINE,"""Fabienk"" b/w ""Mata Zyklek""",0100110100010001000110110110101100111001110110010110010101110011,Two pixelated motorcycle and rider figures in black and white on an orange background.,1,,f,t,2026-06-30 14:46:32.426,2026-07-12 23:36:28.959,
3ab33997-5c9e-4d0d-990a-70883b5c97f9,The Tubs,Dead Meat,0010010100101101111000101110001111001011110010111101001011000101,Four people around an old canon with a cityscape with tall buildings and water in back. Old styled letters of album artist names.,0,"[""ambiguous main visual element"", ""unclear visual focus""]",f,t,2026-07-01 01:47:44.168,2026-07-12 11:46:47.79,
2cff666e-0abe-4ea8-8ac3-140fa8bafdac,Savage Republic,Meteora,1101101010101110001010011011001000010110010011110110001101101001,"Big block text ""SAVAGE REPUBLIC"" a black background overlaying two gray crossing pirates swords and a gray star.",0,"[""ambiguous main visual element""]",f,t,2026-07-01 03:34:02.387,2026-07-12 11:46:47.79,
8d3006c8-7ef5-499b-bd50-d2d7087f898d,Chris Forsyth,Evolution Here We Come,0000011000100111110100111110001101000011110000111101110000010001,Nighttime photo of a courtyard illuminated by three glowing balloon lights with scattered car and building structures.,0,"[""unclear visual focus""]",f,t,2026-07-01 03:57:39.878,2026-07-12 11:46:47.79,
12e8d04f-fd95-45bf-ae15-3f7900a06fe4,Lucy Dacus,Home Video,0110001010100000100100111000111100001111100000110011100100111111,A dark theater interior with rows of empty red-brown seats and one person sitting with a large blue screen.,0,"[""ambiguous main visual element"", ""bad image quality"", ""possible person misidentification"", ""unclear visual focus""]",f,t,2026-07-01 06:07:20.019,2026-07-12 11:46:47.79,
